name	contigs_db_path
A252A2DRAFT_contig_0_01_candidate_division_OP8_bacterium_SCGC_AAA252_A02_SAK_001_31_	/home/barbara-lloydlab/Desktop/KBaseKatie/unannotated_contigs_SAGS_MAGS/bac_gene_tree/aminicinantes_tree/all_fnas/amini_db/A252A2DRAFT_contig_0_01_candidate_division_OP8_bacterium_SCGC_AAA252_A02_SAK_001_31_.db
A252B17DRAFT_contig_0_01_candidate_division_OP8_bacterium_SCGC_AAA252_B17_SAK_001_33_	/home/barbara-lloydlab/Desktop/KBaseKatie/unannotated_contigs_SAGS_MAGS/bac_gene_tree/aminicinantes_tree/all_fnas/amini_db/A252B17DRAFT_contig_0_01_candidate_division_OP8_bacterium_SCGC_AAA252_B17_SAK_001_33_.db
A252C8DRAFT_contig_0_01_candidate_division_OP8_bacterium_SCGC_AAA252_C08_SAK_001_36_	/home/barbara-lloydlab/Desktop/KBaseKatie/unannotated_contigs_SAGS_MAGS/bac_gene_tree/aminicinantes_tree/all_fnas/amini_db/A252C8DRAFT_contig_0_01_candidate_division_OP8_bacterium_SCGC_AAA252_C08_SAK_001_36_.db
A252D18DRAFT_contig_0_01_candidate_division_OP8_bacterium_SCGC_AAA252_D18_SAK_001_40_	/home/barbara-lloydlab/Desktop/KBaseKatie/unannotated_contigs_SAGS_MAGS/bac_gene_tree/aminicinantes_tree/all_fnas/amini_db/A252D18DRAFT_contig_0_01_candidate_division_OP8_bacterium_SCGC_AAA252_D18_SAK_001_40_.db
A252D6DRAFT_contig_0_01_candidate_division_OP8_bacterium_SCGC_AAA252_D06_SAK_001_38_	/home/barbara-lloydlab/Desktop/KBaseKatie/unannotated_contigs_SAGS_MAGS/bac_gene_tree/aminicinantes_tree/all_fnas/amini_db/A252D6DRAFT_contig_0_01_candidate_division_OP8_bacterium_SCGC_AAA252_D06_SAK_001_38_.db
A252F8DRAFT_contig_0_01_candidate_division_OP8_bacterium_SCGC_AAA252_F08_SAK_001_46_	/home/barbara-lloydlab/Desktop/KBaseKatie/unannotated_contigs_SAGS_MAGS/bac_gene_tree/aminicinantes_tree/all_fnas/amini_db/A252F8DRAFT_contig_0_01_candidate_division_OP8_bacterium_SCGC_AAA252_F08_SAK_001_46_.db
A252G21DRAFT_contig_0_01_candidate_division_OP8_bacterium_SCGC_AAA252_G21_SAK_001_52_	/home/barbara-lloydlab/Desktop/KBaseKatie/unannotated_contigs_SAGS_MAGS/bac_gene_tree/aminicinantes_tree/all_fnas/amini_db/A252G21DRAFT_contig_0_01_candidate_division_OP8_bacterium_SCGC_AAA252_G21_SAK_001_52_.db
A252G4DRAFT_contig_0_01_candidate_division_OP8_bacterium_SCGC_AAA252_G04_SAK_001_47_	/home/barbara-lloydlab/Desktop/KBaseKatie/unannotated_contigs_SAGS_MAGS/bac_gene_tree/aminicinantes_tree/all_fnas/amini_db/A252G4DRAFT_contig_0_01_candidate_division_OP8_bacterium_SCGC_AAA252_G04_SAK_001_47_.db
A252G5DRAFT_contig_0_01_candidate_division_OP8_bacterium_SCGC_AAA252_G05_SAK_001_48_	/home/barbara-lloydlab/Desktop/KBaseKatie/unannotated_contigs_SAGS_MAGS/bac_gene_tree/aminicinantes_tree/all_fnas/amini_db/A252G5DRAFT_contig_0_01_candidate_division_OP8_bacterium_SCGC_AAA252_G05_SAK_001_48_.db
A252G6DRAFT_contig_0_01_candidate_division_OP8_bacterium_SCGC_AAA252_G06_SAK_001_49_	/home/barbara-lloydlab/Desktop/KBaseKatie/unannotated_contigs_SAGS_MAGS/bac_gene_tree/aminicinantes_tree/all_fnas/amini_db/A252G6DRAFT_contig_0_01_candidate_division_OP8_bacterium_SCGC_AAA252_G06_SAK_001_49_.db
